model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
lesion_segmentation,359,377,410,146,6610897.0,6690422784.0,3358062592.0,0.0,6690422784.0,3358062592.0,,N/A,256,512,64,128.0,179.5,post_placement,75,787,N/A,N/A,N/A,N/A,N/A,178,128,144,80,4,28,0,991232,256,3,4,64,False,False,True,False,False,0,0,N/A,hailo8l,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.12533566615831532,0.19050301437265202,,,,0.39186699034580014,0.7905579135212771,0.9880629421223713,0.9728864917112791,0.8573706755786689,0.8484282451785848,0.6563396895011792,0.20578846943100998,,no runtime data,no runtime data,N/A,0.6090509662900903,0.9257224901831423,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,196608.0,65536.0,860160.0,860160.0,0.0,0.0
lesion_segmentation_context_0,0.044291110683029114,0.057697988491166884,,0.609375,0.25390625,0.19140625,0.529689944015356,1.0,0.9957188489615495,0.6839491272683188,0.8163265306122449,0.38595695633747096,0.06030577442772984,,1296.4409454943816,0.0007713425,0.0002789,0.7344422835678427,0.9567572763751154,,no runtime data,,,,,196608.0,0.0,0.0,442368.0,0.0,0.0
lesion_segmentation_context_1,0.05236379131312612,0.1491172134757872,,0.59375,0.396484375,0.359375,0.7363355772924124,1.0,0.9997114705263455,0.7771500109369252,0.9565217391304348,0.5893636280647319,0.2025937471472516,,2331.559405219196,0.0004288975,0.0012304924999999999,0.2584669667769482,0.7360405519692771,,no runtime data,,,,,0.0,0.0,49152.0,352256.0,0.0,0.0
lesion_segmentation_context_2,0.20697534764736517,0.20760679550832747,,0.4375,0.509765625,0.32421875,0.8307892680168152,1.0,0.9696969696969697,1.0,0.7951807228915663,0.8056138356526693,0.2076973170042038,,1490.6795262620465,0.000670835,2.339999999999981e-06,0.9965239350837449,0.9995641662724296,,no runtime data,,,,,0.0,0.0,352256.0,65536.0,0.0,0.0
lesion_segmentation_context_3,0.22942279345418637,0.2972313846186693,,0.609375,0.376953125,0.52734375,0.8479410146704196,0.9785068394547173,0.9643818673330427,0.8596692822881931,0.8518518518518519,0.6908319761135466,0.3103346767697573,,930.8993418541653,0.00107423,0.000378855,0.7392754037100376,0.9577768998054654,,no runtime data,,,,,0.0,65536.0,458752.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv7,conv,64,64,144,24,1,1,1,1,conv6,dw4,3600.0,14745600.0,,1441.98,277397,221184.0,1,1,1,144,9,2,0.0,1,1,1,False,,False,,127.44532775878906,764.6719970703125,lesion_segmentation/conv7,1,0,1,0.761165,0,144,0.8305785655975342,0.2657851278781891,0.7467499922571984,2,9216,lesion_segmentation_context_0,False,0.0008587275,0,28311552.0,1152,8,-9.632197380065918,18.27928352355957,-0.4296647012233734,0.25142529606819153,0.0,3.175034999847412,8,8,16,0.8305785655975342,1.0,1.0,0.8990720723932625,1.0,0.7467499922571984,False,False,False
dw4,dw,64,64,144,144,3,3,2,2,conv7,conv8,1440.0,1474560,,1296.44,308537,10368,4.0,4.0,4.0,144,1,7.0,,1,1,1,False,,False,combined (INPUT_FEATURES),1624.927993774414,191.16799926757812,,2.0,0.0,4.0,0.7864150000000001,0,144,0.6208486407995224,0.4864336382597685,0.2240250025402283,46.0,10368,lesion_segmentation_context_0,False,0.0009015375,0,2654208,0,8,0.0,3.175034999847412,-4.00151252746582,5.014409065246582,0.0,3.5932343006134033,8,8,16,0.2987000048160553,1.0,1.0,1.0,0.5,0.2987000048160553,False,False,False
conv8,conv,32,32,32,144,1,1,1,1,dw4,conv9 conv10,4640.0,4751360.0,,5100.67,78421,73728.0,1,1,1,32,4,1,0.0,1,1,1,False,,False,,191.16799926757812,42.48177719116211,lesion_segmentation/conv8,1,0,1,0.7600075,0,32,0.9466851949691772,0.05223090574145317,0.24061943842935482,32,1024,lesion_segmentation_context_0,False,0.0009042525,0,9437184.0,512,8,0.0,3.5932343006134033,-0.7317620515823364,0.8616005182266235,-6.426383018493652,4.721424579620361,8,8,16,0.9466851949691772,1.0,1.0,0.2541704884665372,1.0,0.24061943842935482,False,True,False
conv9,conv,32,32,192,32,1,1,1,1,conv8,dw5,6336.0,6488064.0,,3394.29,117845,98304.0,1,1,1,192,8,1,0.0,1,1,1,False,,False,,42.48177719116211,254.89065551757812,lesion_segmentation/conv9,1,0,1,0.7630875,0,192,0.8602486252784729,0.20854511857032776,0.32856999078211574,5,6144,lesion_segmentation_context_0,False,0.000913455,0,12582912.0,1024,8,-6.426383018493652,4.721424579620361,-0.16945204138755798,0.17359128594398499,0.0,5.478382587432861,8,8,16,0.8602486252784729,1.0,1.0,0.3819477080544635,1.0,0.32856999078211574,False,False,False
dw5,dw,32,32,192,192,3,3,1,1,conv9,conv10,1920.0,1966080,,1745.33,229183,13824,2,1,2,96,1,1,0.0,1,1,1,True,,False,,254.89065551757812,254.89065551757812,lesion_segmentation/dw5,1,0,1,0.77574,0,96,0.5037022829055786,0.10723308473825455,0.37415285785221614,5,6144,lesion_segmentation_context_0,False,0.00093531,0,3538944,24576,8,0.0,5.478382587432861,-7.276922225952148,4.979219913482666,0.0,5.652298927307129,8,8,16,0.5037022829055786,1.0,1.0,0.7428055630280971,1.0,0.37415285785221614,False,False,False
conv10,conv,32|32,32|32,32,192|32,1,1,1,1,dw5 conv8,conv11 conv12,6176.0,6324224.0,,3597.48,111189,98304.0,1,1,1,32,4,1,0.0,1,1,1,False,,True,,254.89065551757812,42.48177719116211,lesion_segmentation/conv10,1,0,1,0.743795,0,32,0.9623973369598389,0.03683817759156227,0.3468238736333974,32,1024,lesion_segmentation_context_0,False,0.0009485675,0,12582912.0,512,8,0.0,5.652298927307129,-0.9124489426612854,0.9268959760665894,-6.7328901290893555,6.576311111450195,8,8,16,0.9623973369598389,1.0,1.0,0.360374930721437,1.0,0.3468238736333974,False,False,False
conv11,conv,32,32,192,32,1,1,1,1,conv10,dw6,6336.0,6488064.0,,3394.29,117845,98304.0,1,1,1,192,8,1,0.0,1,1,1,False,,False,,42.48177719116211,254.89065551757812,lesion_segmentation/conv11,1,0,1,0.744835,0,192,0.8602486252784729,0.20854511857032776,0.32856999078211574,5,6144,lesion_segmentation_context_0,False,0.00095829,0,12582912.0,1024,8,-6.7328901290893555,6.576311111450195,-0.13735432922840118,0.155129536986351,0.0,3.1777281761169434,8,8,16,0.8602486252784729,1.0,1.0,0.3819477080544635,1.0,0.32856999078211574,False,False,False
dw6,dw,32,32,192,192,3,3,1,1,conv11,conv12,1920.0,1966080,,1745.33,229183,13824,2,1,2,96,1,1,0.0,1,1,1,True,,False,,254.89065551757812,254.89065551757812,lesion_segmentation/dw6,1,0,1,0.76603,0,96,0.5037022829055786,0.10723308473825455,0.37415285785221614,5,6144,lesion_segmentation_context_0,False,0.0009886875,0,3538944,24576,8,0.0,3.1777281761169434,-5.836677551269531,5.8726325035095215,0.0,4.931387424468994,8,8,16,0.5037022829055786,1.0,1.0,0.7428055630280971,1.0,0.37415285785221614,False,False,False
conv12,conv,32|32,32|32,32,192|32,1,1,1,1,dw6 conv10,conv13 concat2,6176.0,6324224.0,,3597.48,111189,98304.0,1,1,1,32,4,2,0.0,1,1,1,False,,True,,254.89065551757812,42.48177719116211,lesion_segmentation/conv12,1,0,1,0.7373275,0,32,0.9623973369598389,0.03683817759156227,0.3468238736333974,64,1024,lesion_segmentation_context_0,False,0.001001945,0,12582912.0,512,8,N/A,N/A,-1.2138919830322266,1.1273257732391357,-7.855989456176758,15.437932968139648,8,8,16,0.9623973369598389,1.0,1.0,0.360374930721437,1.0,0.3468238736333974,False,False,False
conv13,conv,32,32,192,32,1,1,1,1,conv12,dw7,6336.0,6488064.0,,3394.29,117845,98304.0,1,1,1,192,8,1,0.0,1,1,1,False,,False,,42.48177719116211,254.89065551757812,lesion_segmentation/conv13,1,0,1,0.7383675000000001,0,192,0.8602486252784729,0.20854511857032776,0.32856999078211574,5,6144,lesion_segmentation_context_0,False,0.0010116675,0,12582912.0,1024,8,-7.855989456176758,15.437932968139648,-0.2015257328748703,0.18551231920719147,0.0,3.7355847358703613,8,8,16,0.8602486252784729,1.0,1.0,0.3819477080544635,1.0,0.32856999078211574,False,False,False
dw7,dw,32,32,192,192,3,3,2,2,conv13,conv14,1920.0,491520,,1924.47,207849,6912,1,1,1,192,1,1,0.0,1,1,1,False,,False,,254.89065551757812,63.72266387939453,lesion_segmentation/dw7,1,0,1,0.7677400000000001,0,192,0.29559922218322754,0.029559921473264694,0.19913333808120798,10,3072,lesion_segmentation_context_0,False,0.0010502425,0,884736,0,8,0.0,3.7355847358703613,-1.9089266061782837,3.1208975315093994,0.0,4.136779308319092,8,8,16,0.29559922218322754,1.0,1.0,0.6736598852001543,1.0,0.19913333808120798,False,False,False
conv14,conv,16,16,64,192,1,1,1,1,dw7,conv15 conv16,12352.0,3162112.0,,7712.92,51861,49152.0,1,1,1,64,8,2,0.0,1,1,1,False,,False,,114.60079956054688,38.20026779174805,lesion_segmentation/conv14,1,0,1,0.39107250000000005,0,64,0.9527004957199097,0.03949017450213432,0.28799422011395637,64,1024,lesion_segmentation_context_1,False,0.000393035,0,6291456.0,1024,8,0.0,4.136779308319092,-0.5053871273994446,0.7015441060066223,-4.147468090057373,3.461196184158325,8,8,16,0.9527004957199097,1.0,1.0,0.3022925057851818,1.0,0.28799422011395637,False,False,False
conv15,conv,16,16,384,64,1,1,1,1,conv14,dw8,24960.0,6389760.0,,3701.89,108053,98304.0,1,1,1,384,8,1,0.0,1,1,1,False,,False,,38.20026779174805,229.20159912109375,lesion_segmentation/conv15,1,0,1,0.40429000000000004,0,384,0.9239910244941711,0.11372196674346924,0.5819572401894898,5,6144,lesion_segmentation_context_1,False,0.00041435,0,12582912.0,1024,8,-4.147468090057373,3.461196184158325,-0.15680712461471558,0.13912461698055267,0.0,4.510175704956055,8,8,16,0.9239910244941711,1.0,1.0,0.6298299710303744,1.0,0.5819572401894898,False,False,False
dw8,dw,16,16,384,384,3,3,1,1,conv15,conv16,3840.0,983040,,2331.56,171559,1728,8,1,1,48,1,2,0.0,1,1,1,False,,False,,229.20159912109375,229.20159912109375,lesion_segmentation/dw8,8,0,1,0.42819,0,48,0.6483367085456848,0.07162550836801529,0.6483367085456848,2,6144,lesion_segmentation_context_1,False,0.0004551275,0,1769472,24576,8,0.0,4.510175704956055,-4.164525985717773,6.433706760406494,0.0,3.283308506011963,8,8,16,0.6483367085456848,1.0,1.0,1.0,1.0,0.6483367085456848,False,False,False
conv16,conv,16|16,16|16,64,384|64,1,1,1,1,dw8 conv14,conv17 conv18,24640.0,6307840.0,,3732.84,107157,98304.0,1,1,1,64,8,1,0.0,1,1,1,False,,True,,229.20159912109375,38.20026779174805,lesion_segmentation/conv16,1,0,1,0.40743,0,64,0.977108359336853,0.01911214366555214,0.6103089925999753,32,1024,lesion_segmentation_context_1,False,0.000485725,0,12582912.0,1024,8,0.0,3.283308506011963,-0.573961079120636,0.6805820465087891,-4.585169315338135,4.012022972106934,8,8,16,0.977108359336853,1.0,1.0,0.6246072779626834,1.0,0.6103089925999753,False,False,False
conv17,conv,16,16,384,64,1,1,1,1,conv16,dw9,24960.0,6389760.0,,3701.89,108053,98304.0,1,1,1,384,8,1,0.0,1,1,1,False,,False,,38.20026779174805,229.20159912109375,lesion_segmentation/conv17,1,0,1,0.40770999999999996,0,384,0.9239910244941711,0.11372196674346924,0.5819572401894898,5,6144,lesion_segmentation_context_1,False,0.0005027425,0,12582912.0,1024,8,-4.585169315338135,4.012022972106934,-0.1281088888645172,0.12282316386699677,0.0,5.03929328918457,8,8,16,0.9239910244941711,1.0,1.0,0.6298299710303744,1.0,0.5819572401894898,False,False,False
dw9,dw,16,16,384,384,3,3,1,1,conv17,conv18,3840.0,983040,,2331.56,171559,1728,8,1,1,48,1,2,0.0,1,1,1,False,,False,,229.20159912109375,229.20159912109375,lesion_segmentation/dw9,8,0,1,0.430255,0,48,0.6483367085456848,0.07162550836801529,0.6483367085456848,2,6144,lesion_segmentation_context_1,False,0.000542165,0,1769472,24576,8,0.0,5.03929328918457,-4.631239891052246,7.789307117462158,0.0,3.1523354053497314,8,8,16,0.6483367085456848,1.0,1.0,1.0,1.0,0.6483367085456848,False,False,False
conv18,conv,16|16,16|16,64,384|64,1,1,1,1,dw9 conv16,conv19 conv20,24640.0,6307840.0,,3662.84,109205,98304.0,1,1,1,64,8,2,0.0,1,1,1,False,,True,,229.20159912109375,38.20026779174805,lesion_segmentation/conv18,1,0,1,0.40807,0,64,0.9775376319885254,0.018753720447421074,0.6222465571687111,64,1024,lesion_segmentation_context_1,False,0.0005734025,0,12582912.0,1024,8,0.0,3.1523354053497314,-0.514815628528595,0.4895477294921875,-4.747566223144531,5.015573978424072,8,8,16,0.9775376319885254,1.0,1.0,0.6365448621174057,1.0,0.6222465571687111,False,False,False
conv19,conv,16,16,384,64,1,1,1,1,conv18,dw10,24960.0,6389760.0,,3701.89,108053,98304.0,1,1,1,384,8,1,0.0,1,1,1,False,,False,,38.20026779174805,229.20159912109375,lesion_segmentation/conv19,1,0,1,0.40789,0,384,0.9239910244941711,0.11372196674346924,0.5819572401894898,5,6144,lesion_segmentation_context_1,False,0.00059028,0,12582912.0,1024,8,-4.747566223144531,5.015573978424072,-0.11600205302238464,0.1249835193157196,0.0,4.404435157775879,8,8,16,0.9239910244941711,1.0,1.0,0.6298299710303744,1.0,0.5819572401894898,False,False,False
dw10,dw,16,16,384,384,3,3,1,1,conv19,conv20,3840.0,983040,,2331.56,171559,1728,8,1,1,48,1,3,0.0,1,1,1,False,,False,,229.20159912109375,229.20159912109375,lesion_segmentation/dw10,8,0,1,0.430255,0,48,0.6483367085456848,0.07162550836801529,0.6483367085456848,3,6144,lesion_segmentation_context_1,False,0.0006295225,0,1769472,24576,8,0.0,4.404435157775879,-6.131687641143799,12.855339050292969,0.0,6.0,8,8,16,0.6483367085456848,1.0,1.0,1.0,1.0,0.6483367085456848,False,False,False
conv20,conv,16|16,16|16,64,384|64,1,1,1,1,dw10 conv18,conv21,24640.0,6307840.0,,3728.39,107285,98304.0,1,1,1,64,8,1,0.0,1,1,1,False,,True,,229.20159912109375,38.20026779174805,lesion_segmentation/conv20,1,0,1,0.4074875,0,64,0.9759426116943359,0.019089341163635254,0.6103090079542713,64,512,lesion_segmentation_context_1,False,0.0006601775,0,12582912.0,0,8,0.0,6.0,-0.6609532833099365,0.48035407066345215,-7.460928440093994,5.84352445602417,8,8,16,0.9759426116943359,1.0,1.0,0.6253533769723536,1.0,0.6103090079542713,False,False,True
